AGENCY,TRANSACTION_DATE,TRANSACTION_AMOUNT,VENDOR_NAME,VENDOR_STATE_PROVINCE,MCC_DESCRIPTION,DCS_LAST_MOD_DTTM,OBJECTID
Department of  Youth Rehabilitation Services,2017/06/01 04:00:00+00,37.49,GPO EXPRESS,DC,"Government Services, Not Elsewhere Classified",2017/07/06 15:15:35+00,300611
Office of the Chief Financial Officer,2017/06/01 04:00:00+00,268.48,STANDARD OFFICE SUPPLY,DC,"Stationery, Office & School Supply Stores",2017/07/06 15:15:35+00,300612
District of Columbia Public Schools,2017/06/01 04:00:00+00,1200,INT*IN *HIGHER GROUND,MD,"Transportation Services, Not Elsewhere Classified",2017/07/06 15:15:35+00,300613
District of Columbia Public Schools,2017/06/01 04:00:00+00,100,INT*IN *HIGHER GROUND,MD,"Transportation Services, Not Elsewhere Classified",2017/07/06 15:15:35+00,300614
District of Columbia Public Schools,2017/06/01 04:00:00+00,450,INT*IN *HIGHER GROUND,MD,"Transportation Services, Not Elsewhere Classified",2017/07/06 15:15:35+00,300615
District of Columbia Public Schools,2017/06/01 04:00:00+00,3250,INT*IN *HIGHER GROUND,MD,"Transportation Services, Not Elsewhere Classified",2017/07/06 15:15:35+00,300616
Department of  Youth Rehabilitation Services,2017/06/01 04:00:00+00,718.19,AMAZON MKTPLACE PMTS,WA,Book Stores,2017/07/06 15:15:35+00,300617
Department of  Youth Rehabilitation Services,2017/06/01 04:00:00+00,61.62,AMAZON MKTPLACE PMTS,WA,Book Stores,2017/07/06 15:15:35+00,300618
Department of  Youth Rehabilitation Services,2017/06/02 04:00:00+00,67.99,AMAZON MKTPLACE PMTS,WA,Book Stores,2017/07/06 15:15:35+00,300619
OFFICE OF PEOPLE'S COUNSEL,2017/06/01 04:00:00+00,49.2,FACEBK *44Q5WCJTS2,IE,Advertising Services,2017/07/06 15:15:35+00,300620
District Department of Transportation,2017/05/31 04:00:00+00,450,ESWP.COM,PA,Data Processing Services,2017/07/06 15:15:35+00,300621
District Department of Transportation,2017/05/31 04:00:00+00,450,ESWP.COM,PA,Data Processing Services,2017/07/06 15:15:35+00,300622
District Department of Transportation,2017/05/31 04:00:00+00,450,ESWP.COM,PA,Data Processing Services,2017/07/06 15:15:35+00,300623
District Department of Transportation,2017/05/31 04:00:00+00,260,ESWP.COM,PA,Data Processing Services,2017/07/06 15:15:35+00,300624
District Department of Transportation,2017/05/31 04:00:00+00,450,ESWP.COM,PA,Data Processing Services,2017/07/06 15:15:35+00,300625
Child & Family Services Administration,2017/05/30 04:00:00+00,700,RIT FINAN SRVS ONLINE,NY,"College, Universities, Professional Schools",2017/07/06 15:15:35+00,300626
District Department of Transportation,2017/05/31 04:00:00+00,154.35,AMAZON.COM,WA,Book Stores,2017/07/06 15:15:35+00,300627
District Department of Transportation,2017/05/31 04:00:00+00,119.99,AMAZON.COM,WA,Book Stores,2017/07/06 15:15:35+00,300628
Metropolitan Police Department,2017/05/31 04:00:00+00,3047.5,SAFARILAND,FL,Business Services Not Elsewhere Classified,2017/07/06 15:15:35+00,300629
Department on Disability Services,2017/05/31 04:00:00+00,260,METRO ACCESS,MD,Local/Suburban Commuter Transportation,2017/07/06 15:15:35+00,300630
Department on Disability Services,2017/05/31 04:00:00+00,50,METRO ACCESS,MD,Local/Suburban Commuter Transportation,2017/07/06 15:15:35+00,300631
District of Columbia Public Schools,2021/08/17 04:00:00+00,549,HOMEDEPOT.COM,GA,HOME SUPPLY WAREHOUSE STORES,2021/09/30 20:19:50+00,445847
District of Columbia Public Schools,2021/08/17 04:00:00+00,-119,THE HOME DEPOT #2583,DC,HOME SUPPLY WAREHOUSE STORES,2021/09/30 20:19:50+00,445848
District of Columbia Public Schools,2021/08/17 04:00:00+00,238,THE HOME DEPOT #2583,DC,HOME SUPPLY WAREHOUSE STORES,2021/09/30 20:19:50+00,445849
District of Columbia Public Schools,2021/08/17 04:00:00+00,2980.76,METROPOLITAN OFFICE,DC,STATIONERY-OFFICE SUPPLIES-PRINTING + WRITING PAP.,2021/09/30 20:19:50+00,445850
District of Columbia Public Schools,2021/08/19 04:00:00+00,259.96,AMZN MKTP US,WA,BOOK STORES,2021/09/30 20:19:50+00,445851
District of Columbia Public Schools,2021/08/19 04:00:00+00,255.73,AMZN MKTP US,WA,BOOK STORES,2021/09/30 20:19:50+00,445852
DC Public Library,2021/08/19 04:00:00+00,145.9,AMER ASSOC NOTARIES,TX,ORGANIZATIONS  MEMBERSHIP-NOT ELSEWHERE CLASSIFIED,2021/09/30 20:19:50+00,445853
Commission of Judicial Disabilities & Tenure,2021/08/18 04:00:00+00,78.41,CANON SOLUTIONS AMER I,NJ,ELECTRONIC SALES,2021/09/30 20:19:50+00,445854
Commission of Judicial Disabilities & Tenure,2021/08/18 04:00:00+00,631.39,CANON SOLUTIONS AMER I,NJ,ELECTRONIC SALES,2021/09/30 20:19:50+00,445855
Commission of Judicial Disabilities & Tenure,2021/08/16 04:00:00+00,106.98,OFFICE DEPOT #5910,PA,DIRECT MARKETING-COMBINATION CATALOG-RETAIL MERCH.,2021/09/30 20:19:50+00,445856
District of Columbia Public Schools,2021/08/18 04:00:00+00,7.99,AMZN MKTP US,WA,BOOK STORES,2021/09/30 20:19:50+00,445857
District of Columbia Public Schools,2021/08/19 04:00:00+00,-91.96,AMZN MKTP US,WA,BOOK STORES,2021/09/30 20:19:50+00,445858
District of Columbia Public Schools,2021/08/18 04:00:00+00,1398.6,BSN SPORTS LLC,TX,MENS-WOMENS-CHILDRENS UNIFORMS-COMMERCIAL CLOTH,2021/09/30 20:19:50+00,445859
District of Columbia Public Schools,2021/08/18 04:00:00+00,44.42,AMZN MKTP US,WA,BOOK STORES,2021/09/30 20:19:50+00,445860
District of Columbia Public Schools,2021/08/19 04:00:00+00,60.16,AMZN MKTP US,WA,BOOK STORES,2021/09/30 20:19:50+00,445861
District of Columbia Public Schools,2021/08/19 04:00:00+00,250.52,AMZN MKTP US,WA,BOOK STORES,2021/09/30 20:19:50+00,445862
District of Columbia Public Schools,2021/08/18 04:00:00+00,855.5,AMZN MKTP US,WA,BOOK STORES,2021/09/30 20:19:50+00,445863
Department of Parks & Recreation,2021/08/20 04:00:00+00,4920,AED SUPERSTORE,WI,DENTAL-LAB-MED-OPHTHALMIC HOSP EQUIP + SUPPLIES,2021/09/30 20:19:50+00,445864
District of Columbia Public Schools,2021/08/20 04:00:00+00,229.78,AMAZON.COM*2D6FN1SL0,WA,BOOK STORES,2021/09/30 20:19:50+00,445865
